,was_home,home_team,away_team,proj_score1,proj_score2,influence_roll,creativity_roll,threat_roll,ict_index_roll,minutes_roll,selected_roll,red_cards,yellow_cards,xP,total_points_x,bonus,clean_sheets,assists,minutes,influence,creativity,threat,ict_index,team_pts,team_rank,xG_diff_team,deep_diff_team,scored_diff_team,opponent_points,gw,opponent_rank,xG_diff_opponent,deep_diff_opponent,scored_diff_opponent,rank_diff,proj_score_diff,team_total_points_cumsum,percent_team_points,position_flag,pos_0,pos_1,pos_2,pos_3,player_name,position,team,total_points_y,point_flag,predictions
55,False,19,3,1.45,1.17,10.728571428571428,4.8428571428571425,0.42857142857142855,1.6071428571428572,48.5,24927.64285714286,0,0,3.0,3,0,0,0,147,24.8,9.2,2.0,3.5,12,14.0,0.3478699285714286,0.588957055214724,0.42105263157894735,21,14,8.0,-0.04625092857142854,0.378698224852071,0.525,6.0,0.28,502,0.00597609561752988,0,1,0,0,0,Joël Veltman,DEF,Brighton,3,0,0.08278715
56,False,19,3,1.45,1.17,8.5,20.692857142857143,13.5,4.25,59.214285714285715,94486.42857142857,0,0,3.8,6,1,1,0,168,27.200000000000003,122.1,30.0,17.9,12,14.0,0.3478699285714286,0.588957055214724,0.42105263157894735,21,14,8.0,-0.04625092857142854,0.378698224852071,0.525,6.0,0.28,502,0.01195219123505976,3,0,0,0,1,Leandro Trossard,MID,Brighton,6,0,0.5276254
57,False,19,3,1.45,1.17,12.057142857142855,2.557142857142857,8.357142857142858,2.3000000000000003,70.71428571428571,312522.21428571426,0,1,6.1,8,0,1,0,270,51.6,17.3,75.0,14.4,12,14.0,0.3478699285714286,0.588957055214724,0.42105263157894735,21,14,8.0,-0.04625092857142854,0.378698224852071,0.525,6.0,0.28,502,0.01593625498007968,0,1,0,0,0,Lewis Dunk,DEF,Brighton,8,1,0.13803713
58,False,19,3,1.45,1.17,9.457142857142857,0.02142857142857143,0.0,0.9428571428571428,70.71428571428571,1073611.7142857143,0,0,4.6,2,0,0,0,90,29.8,0.0,0.0,3.0,12,14.0,0.3478699285714286,0.588957055214724,0.42105263157894735,21,14,8.0,-0.04625092857142854,0.378698224852071,0.525,6.0,0.28,502,0.00398406374501992,2,0,0,1,0,Mathew Ryan,GK,Brighton,2,0,0.03697297
59,False,19,3,1.45,1.17,14.228571428571431,8.999999999999998,35.0,5.8,65.28571428571429,258250.92857142858,0,0,2.6,4,0,0,0,155,9.6,14.899999999999999,94.0,11.9,12,14.0,0.3478699285714286,0.588957055214724,0.42105263157894735,21,14,8.0,-0.04625092857142854,0.378698224852071,0.525,6.0,0.28,502,0.00796812749003984,1,0,1,0,0,Neal Maupay,FWD,Brighton,4,1,0.09710908
60,False,19,3,1.45,1.17,14.000000000000002,19.857142857142858,8.285714285714286,4.214285714285714,44.0,23298.714285714286,0,0,15.600000000000001,3,0,0,0,94,16.4,40.8,0.0,5.7,12,14.0,0.3478699285714286,0.588957055214724,0.42105263157894735,21,14,8.0,-0.04625092857142854,0.378698224852071,0.525,6.0,0.28,502,0.00597609561752988,3,0,0,0,1,Pascal Groß,MID,Brighton,3,0,0.19981842
61,False,19,3,1.45,1.17,8.575,0.0,0.0,0.8624999999999999,33.75,3384.75,0,0,4.0,11,2,1,0,180,49.6,0.0,0.0,5.0,12,14.0,0.3478699285714286,0.588957055214724,0.42105263157894735,21,14,8.0,-0.04625092857142854,0.378698224852071,0.525,6.0,0.28,502,0.021912350597609563,2,0,0,1,0,Robert Sánchez,GK,Brighton,11,0,0.20682652
62,False,19,3,1.45,1.17,18.82857142857143,20.60714285714286,14.071428571428571,5.357142857142857,79.28571428571429,67092.92857142857,0,0,10.0,9,2,1,0,270,56.800000000000004,110.4,48.0,21.6,12,14.0,0.3478699285714286,0.588957055214724,0.42105263157894735,21,14,8.0,-0.04625092857142854,0.378698224852071,0.525,6.0,0.28,502,0.017928286852589643,3,0,0,0,1,Solomon March,MID,Brighton,9,1,0.679801
63,False,19,3,1.45,1.17,4.057142857142858,7.3999999999999995,1.9285714285714286,1.3428571428571427,33.92857142857143,60468.78571428572,0,0,1.8,4,0,1,0,125,8.8,13.8,4.0,2.7,12,14.0,0.3478699285714286,0.588957055214724,0.42105263157894735,21,14,8.0,-0.04625092857142854,0.378698224852071,0.525,6.0,0.28,502,0.00796812749003984,3,0,0,0,1,Steven Alzate,MID,Brighton,4,0,0.11698611
64,False,19,3,1.45,1.17,10.557142857142859,11.635714285714286,11.142857142857142,3.335714285714286,63.357142857142854,708666.0,0,0,1.8,6,0,1,0,77,0.0,2.4,2.0,0.4,12,14.0,0.3478699285714286,0.588957055214724,0.42105263157894735,21,14,8.0,-0.04625092857142854,0.378698224852071,0.525,6.0,0.28,502,0.01195219123505976,0,1,0,0,0,Tariq Lamptey,DEF,Brighton,6,0,0.095056936
65,False,19,3,1.45,1.17,13.299999999999999,6.707142857142856,7.285714285714286,2.707142857142857,82.07142857142857,258963.85714285713,0,0,5.3,7,0,1,0,251,41.2,46.3,24.0,11.100000000000001,12,14.0,0.3478699285714286,0.588957055214724,0.42105263157894735,21,14,8.0,-0.04625092857142854,0.378698224852071,0.525,6.0,0.28,502,0.013944223107569721,3,0,0,0,1,Yves Bissouma,MID,Brighton,7,0,0.20806772
108,True,19,3,1.45,1.17,22.228571428571428,26.95714285714286,1.7857142857142858,5.107142857142857,90.0,495618.0714285714,0,0,9.7,8,0,0,1,270,46.400000000000006,56.6,9.0,11.3,21,8.0,-0.04625092857142854,0.378698224852071,0.525,12,14,14.0,0.3478699285714286,0.588957055214724,0.42105263157894735,-6.0,0.28,616,0.012987012987012988,0,1,0,0,0,Aaron Cresswell,DEF,West Ham,8,1,0.06599609
109,True,19,3,1.45,1.17,0.7000000000000001,1.392857142857143,2.0714285714285716,0.39999999999999997,7.642857142857143,7660.928571428572,0,0,-0.09999999999999998,1,0,0,0,10,4.4,1.0,0.0,0.5,21,8.0,-0.04625092857142854,0.378698224852071,0.525,12,14,14.0,0.3478699285714286,0.588957055214724,0.42105263157894735,-6.0,0.28,616,0.0016233766233766235,3,0,0,0,1,Andriy Yarmolenko,MID,West Ham,1,0,0.009968947
110,True,19,3,1.45,1.17,19.97142857142857,3.5642857142857145,7.928571428571429,3.15,88.0,49650.42857142857,0,0,17.1,14,3,0,0,270,79.60000000000001,25.599999999999998,33.0,13.9,21,8.0,-0.04625092857142854,0.378698224852071,0.525,12,14,14.0,0.3478699285714286,0.588957055214724,0.42105263157894735,-6.0,0.28,616,0.022727272727272728,0,1,0,0,0,Angelo Ogbonna,DEF,West Ham,14,0,0.23093781
111,True,19,3,1.45,1.17,10.185714285714287,12.292857142857143,4.285714285714286,2.6785714285714284,60.714285714285715,95489.28571428571,0,0,1.1,0,0,0,0,0,0.0,0.0,0.0,0.0,21,8.0,-0.04625092857142854,0.378698224852071,0.525,12,14,14.0,0.3478699285714286,0.588957055214724,0.42105263157894735,-6.0,0.28,616,0.0,0,1,0,0,0,Arthur Masuaku,DEF,West Ham,0,0,0.07147352
112,True,19,3,1.45,1.17,0.38571428571428573,0.1285714285714286,0.0,0.049999999999999996,3.642857142857143,163244.35714285713,0,0,0.7,1,0,0,0,5,0.0,0.3,0.0,0.0,21,8.0,-0.04625092857142854,0.378698224852071,0.525,12,14,14.0,0.3478699285714286,0.588957055214724,0.42105263157894735,-6.0,0.28,616,0.0016233766233766235,0,1,0,0,0,Ben Johnson,DEF,West Ham,1,1,0.004551767
113,True,19,3,1.45,1.17,15.15714285714286,11.128571428571428,5.928571428571429,3.2428571428571433,90.0,219418.42857142858,0,0,8.0,6,0,0,0,270,35.8,28.8,8.0,7.4,21,8.0,-0.04625092857142854,0.378698224852071,0.525,12,14,14.0,0.3478699285714286,0.588957055214724,0.42105263157894735,-6.0,0.28,616,0.00974025974025974,3,0,0,0,1,Declan Rice,MID,West Ham,6,0,0.10425321
114,True,19,3,1.45,1.17,15.500000000000002,0.5071428571428571,5.357142857142857,2.142857142857143,70.71428571428571,81770.85714285714,0,0,6.1,3,0,0,0,180,32.6,0.7,23.0,5.7,21,8.0,-0.04625092857142854,0.378698224852071,0.525,12,14,14.0,0.3478699285714286,0.588957055214724,0.42105263157894735,-6.0,0.28,616,0.00487012987012987,0,1,0,0,0,Fabián Balbuena,DEF,West Ham,3,0,0.21480078
115,True,19,3,1.45,1.17,0.17142857142857143,0.028571428571428574,0.14285714285714285,0.03571428571428571,0.14285714285714285,15518.92857142857,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,21,8.0,-0.04625092857142854,0.378698224852071,0.525,12,14,14.0,0.3478699285714286,0.588957055214724,0.42105263157894735,-6.0,0.28,616,0.0,3,0,0,0,1,Felipe Anderson Pereira Gomes,MID,West Ham,0,0,0.007837513
116,True,19,3,1.45,1.17,4.614285714285714,0.13571428571428573,0.0,0.4785714285714286,21.214285714285715,55958.71428571428,0,0,0.2,2,0,0,0,90,19.4,0.3,0.0,2.0,21,8.0,-0.04625092857142854,0.378698224852071,0.525,12,14,14.0,0.3478699285714286,0.588957055214724,0.42105263157894735,-6.0,0.28,616,0.003246753246753247,0,1,0,0,0,Issa Diop,DEF,West Ham,2,0,0.011344914
117,True,19,3,1.45,1.17,16.614285714285714,17.014285714285712,29.571428571428573,6.328571428571429,82.57142857142857,176518.7142857143,0,0,14.8,9,0,0,1,252,34.8,66.3,61.0,16.3,21,8.0,-0.04625092857142854,0.378698224852071,0.525,12,14,14.0,0.3478699285714286,0.588957055214724,0.42105263157894735,-6.0,0.28,616,0.01461038961038961,3,0,0,0,1,Jarrod Bowen,MID,West Ham,9,0,0.14186311
118,True,19,3,1.45,1.17,23.571428571428573,0.0,0.0,2.3642857142857143,90.0,199440.35714285713,0,1,11.0,7,0,0,0,270,85.8,0.0,0.0,8.6,21,8.0,-0.04625092857142854,0.378698224852071,0.525,12,14,14.0,0.3478699285714286,0.588957055214724,0.42105263157894735,-6.0,0.28,616,0.011363636363636364,2,0,0,1,0,Lukasz Fabianski,GK,West Ham,7,0,0.20199919
119,True,19,3,1.45,1.17,3.971428571428571,2.692857142857143,1.1428571428571428,0.7928571428571429,7.571428571428571,6049.857142857143,0,0,1.1,1,0,0,0,45,6.8,24.8,0.0,3.2,21,8.0,-0.04625092857142854,0.378698224852071,0.525,12,14,14.0,0.3478699285714286,0.588957055214724,0.42105263157894735,-6.0,0.28,616,0.0016233766233766235,3,0,0,0,1,Manuel Lanzini,MID,West Ham,1,1,0.008074402
120,True,19,3,1.45,1.17,1.0571428571428572,1.2642857142857142,0.42857142857142855,0.2714285714285714,12.714285714285714,58898.07142857143,0,1,1.1,2,0,0,0,96,7.4,4.6,6.0,1.8,21,8.0,-0.04625092857142854,0.378698224852071,0.525,12,14,14.0,0.3478699285714286,0.588957055214724,0.42105263157894735,-6.0,0.28,616,0.003246753246753247,3,0,0,0,1,Mark Noble,MID,West Ham,2,0,0.039937396
121,True,19,3,1.45,1.17,9.571428571428571,5.307142857142858,22.714285714285715,3.7428571428571424,37.57142857142857,278084.4285714286,0,0,0.1,0,0,0,0,0,0.0,0.0,0.0,0.0,21,8.0,-0.04625092857142854,0.378698224852071,0.525,12,14,14.0,0.3478699285714286,0.588957055214724,0.42105263157894735,-6.0,0.28,616,0.0,1,0,1,0,0,Michail Antonio,FWD,West Ham,0,0,0.0065051666
122,True,19,3,1.45,1.17,11.4,8.757142857142856,17.571428571428573,3.7714285714285714,78.57142857142857,77466.0,0,0,6.999999999999999,5,0,0,0,201,19.400000000000002,19.500000000000004,26.0,6.5,21,8.0,-0.04625092857142854,0.378698224852071,0.525,12,14,14.0,0.3478699285714286,0.588957055214724,0.42105263157894735,-6.0,0.28,616,0.008116883116883116,3,0,0,0,1,Pablo Fornals,MID,West Ham,5,0,0.1301193
